MW,HD,HA,RB,EM,MM,TPSA,HAC,Complexity,CBC,Gap,PT,PCE0,aPCE,bPCE,,
356.23,0,2,1,355.9844,355.9844,37.1,17,240,2,1.6,1,17.4,20.9,2,3.5,10.1002/adfm.202001788
229.32,0,1,1,229.0799446,229.0799446,37.1,16,240,1,1.6,1,17.4,19.1,1,1.7,10.1002/adfm.202001788
157.21,1,1,1,157.0891494,157.0891494,26,12,144,1,1.61,2,18.1,19.3,1,1.2,10.1002/adfm.201906763
125.13,0,3,3,125.0476785,125.0476785,50.1,9,175,1,1.61,2,18.23,19.51,1,1.28,10.1016/j.nanoen.2019.02.009
133.19,1,1,2,133.0891494,133.0891494,26,10,101,1,1.59,3,17.7,20.89,2,3.19,10.1002/adfm.201808119
135.21,1,1,3,135.1047994,135.1047994,26,10,74.8,1,1.59,3,17.7,19.51,1,1.81,10.1002/adfm.201808119
114.96,3,1,0,113.975153,113.975153,49.9,5,33,2,1.6,2,18.93,20.36,1,1.43,10.1039/C9TA01319A
181.57,1,2,0,180.993056,180.993056,46.2,12,241,1,1.61,2,18.13,20.18,2,2.05,10.1002/solr.201900529
173,2,1,0,172.9701,172.9701,12,4,2.8,2,1.59,2,18.2,21.6,2,3.4,10.1002/adma.201903559
208.33,0,4,8,208.1130856,208.1130856,36.9,13,91.2,1,1.57,2,19.1,21.1,1,2,10.1021/acsenergylett.9b00608
192.5,1,1,4,191.003532,191.003532,3.2,9,43.7,2,1.5,1,13.24,20.65,2,7.41,10.1039/C7EE01675A
330.4,2,6,4,330.0020511,330.0020511,131,22,402,1,1.63,2,19.1,21.45,2,2.35,10.1039/C9TA06718C
89.09,2,3,1,89.0476784,89.0476784,63.3,6,61.8,1,1.62,2,16.23,18.52,2,2.29,10.1021/acsami.9b15607
362.19,0,10,0,362.0027149,362.0027149,95.2,26,1040,1,1.58,1,19.61,20.81,1,1.2,10.1002/adma.201800515 
249.09,2,1,2,249.0014,249.0014,26,10,65,2,1.61,1,20.09,21.64,1,1.55,10.1016/j.joule.2020.04.001
343.98,4,2,3,343.9246,343.9246,52,8,17.5,3,1.61,1,20.09,22.31,2,2.22,10.1016/j.joule.2020.04.001
186.98,4,1,0,186.96064,186.96064,75.9,5,26.3,2,1.61,1,20.09,20.57,0,0.48,10.1016/j.joule.2020.04.001
74.13,2,2,2,74.08439832,74.08439832,52,5,12.4,1,1.51,2,17,21.5,2,4.5,10.1126/sciadv.aav8925
74.13,2,2,2,74.08439832,74.08439832,52,5,12.4,1,1.55,2,18.3,21.7,2,3.4,10.1126/sciadv.aav8925
